"age","sex","sex_orient","sex_orient_4_TEXT","gender","gender_3_TEXT","race","poly_identity","rel_status","num_partners","num_partners_3_TEXT","jealousy_proneness_1","jealousy_intensity_1","idealAmbitionBlue","idealAttractBlue","idealIntelBlue","idealSexyBlue","idealKindBlue","idealStatusBlue","idealWealthBlue","idealAmbitionOrange","idealAttractOrange","idealIntelOrange","idealSexyOrange","idealKindOrange","idealStatusOrange","idealWealthOrange","attncheck9","orange_gender","orange_gender._3_TEXT","blue_gender","blue_gender_3_TEXT","self_ambition1","self_ambition2","attn_check8","self_intel1","self_intel2","self_kind1","self_kind2","self_attract1","self_attract2","self_finance1","self_finance2","self_sexy1","self_sexy2","self_status1","self_status2","entered_poly","openness_poly","fin_invest","time_invest","emot_close","roles_blue","roles_orange","monog_attn","poly_attn","actual_a_ambition1","actual_a_ambition2","attn_check10","actual_a_intel1","actual_a_intel2","actual_a_kind1","actual_a_kind2","actual_a_attract1","actual_a_attract2","actual_a_finance1","actual_a_finance2","actual_a_sexy1","actual_a_sexy2","actual_a_status1","actual_a_status2","actual_a_age","actual_a_gender","actual_a_gender._4_TEXT","actual_b_ambition1","actual_b_ambition2","actual_b_intel1","actual_b_intel2","actual_b_kind1","actual_b_kind2","actual_b_attract1","actual_b_attract2","actual_b_finance1","actual_b_finance2","actual_b_sexy1","actual_b_sexy2","actual_b_status1","actual_b_status2","actual_b_age","actual_b_gender","actual_b_gender._4_TEXT","actual_ambition1","actual_ambition2","actual_intel1","actual_intel2","actual_kind1","actual_kind2","actual_attract1","actual_attract2","actual_finance1","actual_finance2","actual_sexy1","actual_sexy2","actual_status1","attn_check10.1","actual_status2","actual_partner_age","actual_gender","actual_gender_4_TEXT","textQuality","monog_attn_dup","poly_attn_dup","PIN","raceText","self_ambition","self_intel","self_kind","self_attract","self_finance","self_sexy","self_status","actual_a_ambition","actual_a_intel","actual_a_kind","actual_a_attract","actual_a_finance","actual_a_sexy","actual_a_status","actual_b_ambition","actual_b_intel","actual_b_kind","actual_b_attract","actual_b_finance","actual_b_sexy","actual_b_status","actual_ambition","actual_intel","actual_kind","actual_attract","actual_finance","actual_sexy","actual_status","group"
31,"1","1","","1","","6","0","1",NA,"",NA,NA,0,4,5,5,10,1,0,5,4,5,5,10,6,10,9,"0","","0","",5,0,8,6,10,10,10,6,5,0,10,10,5,6,5,2,3,4,4,1,"1,2,4,6,10","1,3,4,5,9,10","To have more of relationship.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,FALSE,NA,"130","White",2.5,8,10,5.5,5,7.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
22,"1","1","","1","","6","0","1",NA,"",NA,NA,0,10,8,10,8,1,2,1,10,2,6,7,1,4,9,"0","","0","",7,6,8,2,2,2,6,2,2,3,4,1,10,1,1,2,2,4,4,3,"1","2","I think someone would enter if they had a chance. I don't think this kind of relationship is normal or something that is planned. I think this kind of relationship just kind of happens randomly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,FALSE,NA,"91","White",6.5,2,4,2,3.5,5.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
41,"1","1","","1","","6","0","1",NA,"",NA,NA,3,7,5,5,6,3,3,2,8,7,7,7,4,3,9,"0","","0","",5,3,8,7,7,5,7,6,6,2,2,5,6,4,5,2,2,4,4,3,"1,2,3,4,5,9,10","1,2,3,4,5,9,10","Because they feel like can love and connect with more than one person at a time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,FALSE,NA,"5","White",4,7,6,6,2,5.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
57,"1","1","","1","","6","0","2",1,"",2,2,2,7,5,7,6,4,4,2,7,5,7,6,4,4,9,"0","","0","",6,6,8,7,7,7,5,4,4,7,7,3,6,6,5,2,1,4,4,3,"1,2,4,10","1,2,4,10","I can't completely understand that decision or even know if it is a decision or something innate. If I had to make a guess I'd say they have a need to be validated by more than one person. Or they just re looking for more in a relationship than 1 person can satisfy.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",4,4,5,5,6,5,5,2,5,6,3,3,5,10,5,54,"1","",0,FALSE,NA,"207","White",6,7,6,4,7,4.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5.5,3.5,5.5,3,5,"partnered_monog"
56,"0","1","","0","","6","0","1",NA,"",NA,NA,2,1,10,8,9,2,2,3,2,9,8,9,2,3,9,"1","","1","",5,4,8,8,9,8,9,5,7,6,5,9,8,8,7,2,3,4,4,3,"1,2,4,10","1,2,4,10","because they felt that one partner wasn't enough for them",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,FALSE,NA,"140","White",4.5,8.5,8.5,6,5.5,8.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
29,"0","1","","0","","3","0","2",1,"",2,4,7,5,7,6,7,0,7,4,4,4,6,3,0,10,9,"1","","1","",8,7,8,7,7,5,4,5,5,5,4,7,8,8,6,2,2,4,4,3,"1,2,3,4,5,6,9","1,3,4","Maybe someone has a low sex desire and they need to find someone else. All parties agree.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",6,6,7,7,10,10,5,5,7,5,3,3,10,10,10,33,"2","",0,FALSE,NA,"219","Hispanic or Latino",7.5,7,4.5,5,4.5,7.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,10,5,6,3,10,"partnered_monog"
50,"0","1","","0","","6","0","2",2,"",4,5,4,6,5,6,6,3,3,6,6,5,6,6,3,5,9,"1","","1","",7,7,8,7,7,6,8,6,7,7,7,6,7,6,6,NA,NA,2,3,3,"1,2,4,10","1,2,4,10",NA,"Sexual dysfunction issues with my spouse.",5,5,11,6,7,8,8,5,3,7,6,6,8,6,6,66,"2","",8,7,7,6,8,8,7,7,5,7,8,7,5,5,57,"2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA,FALSE,"206","White",7,7,7,6.5,7,6.5,6,5,6.5,8,4,6.5,7,6,7.5,6.5,8,7,6,7.5,5,NA,NA,NA,NA,NA,NA,NA,"partnered_monog"
34,"0","1","","0","","6","0","2",1,"",2,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,"1","","1","",6,6,8,7,6,5,6,5,5,6,6,5,5,5,5,2,2,4,4,3,"1,2,3,4,5,6,9,10","1,2,3,4,5,6,9,10","They want to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",4,4,6,5,5,5,5,5,5,5,6,6,6,10,5,39,"2","",0,FALSE,NA,"19","White",6,6.5,5.5,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5.5,5,5,5,6,5.5,"partnered_monog"
36,"1","1","","1","","6","0","2",1,"",2,3,6,8,6,7,6,3,4,5,6,5,4,4,4,2,9,"0","","0","",7,6,8,6,6,7,7,5,6,6,6,5,7,8,5,2,5,4,4,3,"1,2,3,5,9","1,2,3,6,10","They are accepting of its lifestyle and open to the idea of having multiple partners ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",9,10,10,10,10,10,10,10,10,7,10,9,10,10,10,37,"1","",0,FALSE,NA,"30","White",6.5,6,7,5.5,6,6,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,10,10,10,8.5,9.5,10,"partnered_monog"
38,"0","1","","0","","6","0","1",NA,"",NA,NA,10,0,10,0,0,10,10,0,10,0,10,10,0,0,9,"1","","1","",6,5,8,8,8,10,8,5,2,1,2,5,10,5,5,2,1,5,3,3,"1,4,10","3,5,9","Being able to cheat, and get away with it. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,FALSE,NA,"77","White",5.5,8,9,3.5,1.5,7.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
38,"1","1","","1","","3","0","5",1,"",3,3,5,6,5,9,7,1,3,5,6,4,9,7,1,2,9,"0","","0","",8,8,8,8,8,4,10,6,5,10,10,8,8,7,7,2,3,4,3,2,"2","4","because they want to have sex with two people at once",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",5,5,6,5,6,6,8,7,6,7,9,10,6,10,6,32,"1","",0,FALSE,NA,"68","Hispanic or Latino",8,8,7,5.5,10,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.5,6,7.5,6.5,9.5,6,"partnered_monog"
41,"0","1","","0","","2","0","1",NA,"",NA,NA,5,6,7,6,10,2,5,5,4,6,5,5,0,4,9,"1","","1","",10,7,8,7,6,10,9,7,6,5,9,7,9,6,6,2,1,5,4,3,"4,5,10","1,2,4,5,9,10","They like companionship without the commitment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,FALSE,NA,"23","Black or African American",8.5,6.5,9.5,6.5,7,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
37,"0","1","","0","","2,6","0","2",1,"",1,5,1,3,4,3,9,4,6,4,6,8,4,8,4,6,9,"1","","0","",2,2,8,7,7,4,8,8,1,5,4,2,1,5,4,2,1,5,5,2,"2,4,6,9,10","1,2,4,10","to have options, different people to lean on for different reasons, who is reciprocal in their needs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",7,6,6,5,3,3,8,4,9,8,6,2,8,10,6,42,"2","",0,FALSE,NA,"71","Multi-racial",2,7,6,4.5,4.5,1.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,5.5,3,6,8.5,4,7,"partnered_monog"
33,"0","1","","0","","1","0","2",1,"",3,4,4,3,4,6,6,4,6,6,5,6,4,6,5,5,9,"1","","1","",4,5,8,7,5,9,8,5,5,4,4,6,7,7,7,2,2,5,6,4,"4,9,10","1,2,3,4,5,6,9,10","To give their love. To share their love. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",8,8,5,7,6,6,7,6,7,7,7,6,6,10,6,34,"2","",0,FALSE,NA,"218","Asian or Pacific Islander",4.5,6,8.5,5,4,6.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,6,6.5,7,6.5,6,"partnered_monog"
33,"1","1","","1","","6","0","2",1,"",2,2,2,7,7,5,7,1,1,4,7,8,5,8,2,6,9,"0","","0","",4,4,8,7,7,3,4,5,6,7,7,3,5,5,4,2,1,7,7,3,"4","1,2,3,6,9,10","They would enter into a polyamorous relationship because they have no self esteem and low morals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",3,3,6,7,6,6,7,7,7,6,4,3,4,10,4,32,"1","",0,FALSE,NA,"230","White",4,7,3.5,5.5,7,4,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6.5,6,7,6.5,3.5,4,"partnered_monog"
31,"1","1","","1","","6","0","2",1,"",4,5,3,8,5,7,0,4,0,8,4,9,3,5,5,9,9,"0","","0","",5,7,8,6,7,7,8,7,5,6,6,5,8,6,6,2,2,3,4,2,"1,10","2,3,4,5","When people want different things in relationship but want to still remain together. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",8,7,8,8,5,4,5,5,7,6,4,2,7,10,6,31,"1","",0,FALSE,NA,"182","White",6,6.5,7.5,6,6,6.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,8,4.5,5,6.5,3,6.5,"partnered_monog"
43,"1","1","","1","","6","0","1",NA,"",NA,NA,1,10,2,9,5,1,2,7,8,7,7,0,2,9,9,"0","","0","",5,5,8,6,6,6,9,5,4,5,5,5,5,6,5,2,5,6,5,3,"1,2,4,6,10","1,2,3,4,5,6,9,10","The sex could probably be fantastic. It would provide variety. It could be nice to have more people close to you.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,FALSE,NA,"183","White",5,6,7.5,4.5,5,5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
28,"0","1","","0","","3","0","2",1,"",3,6,6,6,6,5,5,5,6,5,5,5,5,5,2,4,9,"1","","1","",7,7,8,8,7,7,8,8,7,8,8,8,7,8,7,2,2,3,5,4,"1,2,4,6","1,3,5,10","High sex drive. Not being satisfied emotionally by one partner. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",9,9,9,9,9,8,9,7,8,9,8,8,9,10,9,33,"2","",0,FALSE,NA,"94","Hispanic or Latino",7,7.5,7.5,7.5,8,7.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,8.5,8,8.5,8,9,"partnered_monog"
43,"0","3","","0","","6","0","2",1,"",2,6,4,5,8,5,7,3,5,5,8,6,8,2,3,1,9,"1","","1","",6,5,8,8,8,3,5,6,5,4,6,6,8,7,7,2,4,2,2,1,"2,5,6,9","1,10","To have their needs met fully. It's difficult to find someone who checks off all the boxes of what people look for in a partner. I think polyamory is a way to have balance and fulfillment. It also keeps things interesting.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",4,5,6,9,8,5,8,7,5,7,8,8,7,10,7,46,"2","",0,FALSE,NA,"84","White",5.5,8,4,5.5,5,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,7.5,6.5,7.5,6,8,7,"partnered_monog"
