age,sex,sex_orient,sex_orient_4_TEXT,gender,gender_3_TEXT,race,poly_identity,rel_status,num_partners,num_partners_3_TEXT,name_partner,name_partner1,name_partner2,bud_allo_1,bud_allo_2,bud_allo_3,bud_allo_4,bud_allo_5,bud_allo_6,bud_allo_7,bud_allo_8,bud_allo_9,bud_allo_10,bud_allo_11,bud_allo_12,bud_allo_13,bud_allo_14,attncheck9,orange_gender ,orange_gender _3_TEXT,blue_gender,blue_gender_3_TEXT,self_ambition1,self_ambition2 ,attn_check8,self_intel1,self_intel2,self_kind1 ,self_kind2 ,self_attract1,self_attract2 ,self_finance1 ,self_finance2,self_sexy1 ,self_sexy2,self_status1 ,self_status2 ,soi_partners,soi_oneencounter,soi_shortterm,soi_sexonly_1,soi_casual_agreement_1,soi_longterm_reverse_1,soi_fantasies1,soi_arousal,soi_fantasies2,fin_invest,time_invest,emot_close,roles_blue ,roles_orange,actual_a_ambition1,actual_a_ambition2,attn_check10a,actual_a_intel1,actual_a_intel2,actual_a_kind1,actual_a_kind2,actual_a_attract1,actual_a_attract2,actual_a_finance1,actual_a_finance2,actual_a_sexy1,actual_a_sexy2,actual_a_status1,actual_a_status2,actual_a_age,actual_a_gender ,actual_a_gender _4_TEXT,actual_b_ambition1,actual_b_ambition2 ,actual_b_intel1,actual_b_intel2 ,actual_b_kind1 ,actual_b_kind2 ,actual_b_attract1,actual_b_attract2,actual_b_finance1,actual_b_finance2 ,actual_b_sexy1 ,actual_b_sexy2 ,actual_b_status1 ,actual_b_status2 ,actual_b_age ,actual_b_gender ,actual_b_gender _4_TEXT,jealousy_proneness_1,jealousy_intensity_1,jealousy_proneness1_1,jealousy_intensity1_1,jealousy_proneness2_1,jealousy_intensity2_1,jealousy_sexual ,jealousy_emotional ,jealousy_sexual1,jealousy_emotional1,jealousy_sexual2,jealous_emotional2,fin_invest_actual,time_invest_actual ,emot_close_actual,roles_partnerA,roles_partnerB,actual_ambition1,actual_ambition2 ,actual_intel1,actual_intel2 ,actual_kind1,actual_kind2,actual_attract1,actual_attract2,actual_finance1,actual_finance2,actual_sexy1,actual_sexy2,actual_status1,attn_check10b,actual_status2 ,actual_partner_age ,actual_gender,actual_gender_4_TEXT,poly_attn
39,1,1,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,1,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,1,,1,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,1,,0,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,3,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,3,,1,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,3,,1,,"2,6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,1,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,1,,0,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,1,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,1,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,1,,0,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,2,,1,,6,1,5,2,,,Bas,Luc,9,7,8,9,7,9,7,6,8,0,0,0,0,0,8,1,,1,,9,8,8,8,9,8,8,8,9,8,9,8,9,8,9,3,2,2,2,6,6,4,5,6,5,3,2,"1,2,3,4,5,6,9,10","1,2,3,4,5,6,9,10",9,10,11,9,10,8,9,9,10,10,10,10,9,9,10,53,2,,10,10,11,11,11,10,11,9,7,10,10,11,11,10,53,2,,,,2,3,3,3,,,3,2,2,2,1,5,3,"1,2,3,4,5,6,9,10","1,2,3,4,5,6,9,10",,,,,,,,,,,,,,,,,,,I loved them Both
37,1,3,,1,,6,1,1,,,,,,0,7,5,6,5,6,6,5,4,4,5,6,5,6,9,0,,0,,6,5,8,6,8,8,8,6,6,7,7,7,7,7,8,4,4,2,8,9,1,6,6,5,4,4,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I dont see myself committed to just one person. The sex is better with options too
30,1,1,,1,,6,1,5,1,,ML,,,1,7,3,10,6,2,5,0,9,5,8,7,5,2,9,0,,0,,4,7,8,8,7,3,8,8,8,6,6,7,10,6,6,2,6,8,9,9,1,7,7,8,3,4,5,"1,2,3,4,5,10","1,2,3,4,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,4,2,,,,,,,,,,6,5,8,6,8,8,10,10,6,6,9,8,7,10,5,28,1,,I like sexual variety and fantasies are fun.
37,1,3,,1,,6,1,1,,,,,,10,5,5,5,5,5,5,5,5,5,0,5,5,5,9,1,,1,,6,6,8,6,6,6,6,9,6,6,6,6,6,10,6,1,1,1,3,3,5,2,2,2,4,4,3,"1,2,10","1,2,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The variety that is guaranteed.
28,1,1,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,5,,4,,7,1,5,3,3,,No,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,3,Doesn't matter,3,Doesn't matter,10,10,8,11,10,10,10,10,10,11,11,10,10,10,9,9,5,1,5,9,1,9,9,6,4,4,3,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,18,4,Doesn't matter,6,6,6,6,6,6,6,6,6,6,6,6,6,6,18,1,,,,1,1,1,1,,,1,1,1,1,4,4,3,1,1,,,,,,,,,,,,,,,,,,,I'm poly
49,0,3,,0,,6,1,2,1,,gn,,,1,5,7,6,6,5,2,4,5,7,6,5,5,6,9,1,,1,,4,6,8,10,9,6,7,8,9,4,4,9,6,7,7,2,4,7,9,4,3,3,2,2,5,4,3,"1,2,3,4,10","1,2,3,4,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,4,,,,,,,,,,5,6,10,9,7,7,6,3,3,5,4,7,7,10,7,47,2,,Enjoying the company of multiple people.
56,1,4,,1,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,1,,0,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,1,,1,,6,1,2,1,,PC,,,2,8,8,5,6,1,1,2,10,8,10,6,2,1,9,0,,1,,10,9,8,9,10,9,11,9,8,10,9,8,11,10,9,2,6,8,5,7,8,3,2,3,7,7,5,"2,5","1,2,9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,6,5,,,,,,,,,,10,8,10,10,11,11,10,9,9,8,9,9,11,10,11,40,1,,Growing up it was difficult to maintain a monogomous relationship due to bad acne and other health issues
35,0,3,,0,,"3,6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,1,,0,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,1,,1,,1,1,1,,,,,,6,8,8,8,7,7,7,8,8,3,0,0,0,0,9,0,,0,,10,8,8,10,10,9,7,9,10,9,9,9,10,10,9,5,3,3,7,6,2,6,6,4,5,5,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Different taste of nature 
30,1,3,,1,,"2,6",1,2,2,,,RF,NP,7,4,7,7,7,2,2,4,7,7,6,6,2,2,9,0,,0,,9,8,8,8,10,9,8,7,7,10,9,7,8,8,8,4,5,5,6,7,1,4,4,4,4,4,3,"1,2","1,2",9,9,11,9,9,9,9,9,9,10,10,9,9,9,9,32,1,,8,7,7,8,7,8,9,8,8,7,8,8,8,8,31,1,,,,1,1,1,1,,,1,1,1,1,4,4,3,"1,2","1,2",,,,,,,,,,,,,,,,,,,We all felt an attraction to each other and were all on board with what we were doing.
42,0,3,,2,,6,1,1,,,,,,3,4,4,2,7,4,2,7,6,6,8,3,6,8,1,0,,2,,5,7,8,8,6,10,8,8,2,3,4,9,9,4,4,3,1,2,9,7,2,7,4,2,4,6,5,"1,2,4,9,10","1,3,4,5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I wanted to try something new. A lot of my friends were polyamorous and I wondered if it was something I would enjoy too.
36,1,1,,1,,6,1,1,,,,,,2,7,4,7,10,2,4,2,7,4,7,8,2,4,1,0,,0,,7,6,8,8,8,9,10,8,8,6,8,9,6,7,7,6,4,6,9,9,1,8,6,7,4,4,3,"1,2,4,10","1,2,4,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I dont like commitment so being with multiple people kind of protects me from that and I also enjoy it
44,0,1,,0,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,3,,0,,6,1,5,1,,DS,,,8,8,8,8,1,1,0,0,1,1,8,8,8,10,9,1,,1,,9,9,8,8,9,11,11,9,9,8,9,8,5,11,11,2,1,2,9,3,9,3,2,2,3,4,3,"3,10","1,2,4,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,1,4,,,,,,,,,,11,11,11,11,11,11,11,11,6,11,11,11,11,10,11,27,2,,Feeling like love is so beautiful and essential to life and not wanting to hold that feeling back. 
44,0,1,,0,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,1,,1,,6,1,5,2,,,SS,KS,4,5,5,5,5,6,5,6,3,3,4,6,7,6,9,0,,0,,8,9,8,10,9,9,9,8,8,10,9,9,10,10,9,3,4,3,7,8,4,8,7,8,5,4,4,"2,4","3,5,10",9,8,11,8,8,10,8,9,9,9,9,8,8,10,10,38,1,,9,9,10,8,7,8,8,11,7,7,10,9,8,8,35,1,,,,4,3,5,6,,,3,2,4,3,4,5,4,"1,4","1,2,4",,,,,,,,,,,,,,,,,,,"I would say that it had to do with my options. I would not have done so if the situation had not been presented to me in the first place, but to my surprise it was. I had originally planned to not be in such a relationship, but when the opportunity presented itself to me, it was something I wanted to pursue. "
62,1,1,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,3,,1,,6,1,2,2,,,SC,DS,8,5,3,5,8,4,5,6,3,6,5,6,2,4,9,0,,1,,7,9,8,10,9,9,8,9,7,10,9,10,6,8,10,3,2,3,1,5,6,2,3,3,6,4,4,"1,3","1,2,3,6",9,8,11,6,7,5,9,10,8,6,9,9,8,8,9,30,1,,8,7,8,5,8,5,3,5,6,8,5,8,6,7,32,2,,,,5,5,5,6,,,3,3,4,3,2,2,1,"1,2,3,6","1,2,4",,,,,,,,,,,,,,,,,,,I don't want to be overstressed and am a bisexual.
33,0,3,,0,,3,1,2,2,,,pb,mv,7,1,2,5,4,4,10,5,7,5,7,5,4,4,9,0,,1,,11,10,8,10,9,9,6,6,9,8,9,10,11,10,9,3,1,2,9,8,1,7,4,6,2,3,2,"1,2,3,4,5,6,9,10","1,2,4,10",10,11,11,10,9,10,10,9,6,10,10,8,7,9,10,32,2,,9,10,10,10,8,7,9,11,6,7,9,10,8,8,38,1,,,,3,4,4,3,,,3,5,2,2,2,3,1,"1,2,3,4,5,6,9,10","1,4,10",,,,,,,,,,,,,,,,,,,the fact that I am attracted to both male and female and both are very different types relationships
37,1,1,,1,,2,1,2,2,,,Es,Rh,8,6,7,6,7,7,5,6,3,4,4,3,3,1,9,0,,1,,7,6,8,7,6,6,6,5,6,6,6,10,10,6,10,3,3,3,5,6,5,6,6,6,7,1,1,"1,3,5,9","1,2,3",10,9,11,10,9,10,6,8,9,10,6,8,10,10,8,30,1,,11,8,6,7,5,6,6,7,7,6,6,6,6,6,29,1,,,,6,7,6,6,,,4,5,4,4,1,7,1,"1,2,3","1,4,5",,,,,,,,,,,,,,,,,,,
34,1,1,,1,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,3,,1,,6,1,2,2,,,Vee,Eric,4,4,1,4,8,4,5,7,6,7,5,6,4,5,9,0,,0,,10,10,8,11,10,9,11,10,8,9,9,11,10,9,9,4,3,5,9,6,2,6,6,4,2,2,1,"2,4,5,6","1,2,9,10",8,11,11,10,8,11,9,11,11,7,6,6,8,11,9,28,1,,9,9,7,10,9,10,11,9,9,10,10,10,11,8,25,2,,,,4,5,4,7,,,5,4,3,3,2,2,1,"2,5,6,9","1,3,9,10",,,,,,,,,,,,,,,,,,,My sexual orientation.
37,1,1,,1,,2,1,2,1,,Rh,,,4,4,5,6,5,5,4,3,4,5,6,6,6,7,9,1,,0,,11,11,8,11,11,11,10,11,10,10,9,10,10,11,10,2,2,2,6,6,6,6,5,6,7,1,1,"1,2,3","1,2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,,6,4,,,,,,,,,,10,10,11,11,11,10,10,11,10,11,11,10,11,10,9,30,1,,
34,1,3,,1,,6,1,1,,,,,,2,5,4,3,8,5,7,2,6,8,3,7,4,6,9,0,,0,,4,3,8,6,6,6,6,6,5,2,1,6,2,3,3,1,3,1,9,5,5,2,2,2,4,4,3,"1,4,10","1,4,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The consent of both partners.
37,1,2,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,1,,1,,3,1,5,2,,,CL,AT,10,10,5,10,0,0,0,10,10,5,10,0,0,0,9,0,,0,,7,7,8,7,7,7,7,6,7,7,7,10,11,6,6,6,5,5,9,9,1,6,6,6,4,4,3,"1,2,3,4,10","1,2,3,4,10",6,6,11,6,6,6,6,6,7,6,6,8,11,6,6,27,1,,7,7,7,7,6,6,8,8,7,7,9,11,7,7,28,1,,,,2,2,4,2,,,1,3,3,3,4,4,3,"1,2,3,4,10","1,10",,,,,,,,,,,,,,,,,,,I was married once and I did not like to be tied down just to one partner so I decided to have a polyamorous relationship when I became single
40,0,3,,0,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,1,,1,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,2,,1,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,1,,1,,1,1,2,2,,,MJ,JL,1,8,2,9,4,1,2,5,5,7,8,6,4,8,9,0,,0,,9,9,8,10,10,9,8,8,9,9,10,10,9,9,8,3,9,9,8,7,1,3,3,4,6,6,4,"1,4,10","1,2,3,4,6,9",6,8,11,9,9,10,9,8,8,8,7,7,8,8,7,46,1,,6,7,8,8,7,8,8,8,8,8,8,9,8,7,38,1,,,,5,6,2,2,,,2,3,1,2,2,2,1,"1,2,3,4,5,6,9","1,4,10",,,,,,,,,,,,,,,,,,,I get drawn to certain people where I enjoy their company from time to time but aren't really interested in living with them. My wife and I find other people attractive that have different traits than each of us have and we get the opportunity to explore being with other people while being married. It is easier to be open about the relationship with our spouse without having to hide what we are doing behind their backs.
55,1,1,,1,,2,1,1,,,,,,4,5,9,5,9,3,2,2,2,9,3,9,5,3,9,0,,0,,4,4,4,11,11,10,11,8,7,3,3,7,10,7,6,1,9,9,8,9,1,8,7,6,5,2,2,"1,4,10","1,4,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It felt more in line with what my ""true self"" was. I didn't know others were like me. I was EXTREMELY relieved to discover that there was a sizeable amount of people who were similar to me."
36,1,1,,1,,"2,6",1,1,,,,,,4,8,6,7,7,0,6,3,6,6,6,6,0,5,9,0,,0,,6,6,4,8,7,8,9,8,8,8,6,8,6,6,5,3,3,2,8,7,2,7,7,7,3,3,2,"1,2,3,4,9,10","1,4,9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I wanted to fulfill my sexual desires and be a positive influence in the lives of multiple lovers.
63,1,3,,1,,"3,6",1,2,2,,,TC,GP,1,9,8,9,2,1,4,1,8,6,9,5,2,5,9,0,,0,,8,8,8,10,10,6,6,7,7,8,9,6,6,6,7,3,1,2,7,8,2,6,6,7,4,4,3,4,10,8,7,11,9,8,7,7,7,9,10,9,6,5,9,10,66,1,,10,10,10,10,10,6,6,5,10,10,9,6,10,10,60,2,,,,4,5,6,5,,,2,5,4,3,1,2,1,"1,2,3,4,5,9,10",1,,,,,,,,,,,,,,,,,,,"GP was a next-door neighbor, and it was during COVID, and TC was away for months."
25,0,2,,1,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,1,,0,,6,1,2,1,,Sam,,,5,3,6,6,6,5,4,6,8,3,4,5,4,5,9,0,,1,,6,6,8,8,6,7,7,9,9,7,7,7,8,8,8,2,4,6,6,6,2,2,2,2,2,2,2,"1,2,3,5,9","1,2,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,5,5,,,,,,,,,,10,10,9,10,10,10,10,11,10,9,10,10,9,10,9,45,2,,Fulfilling needs not met in monogamous relationship
38,1,2,,1,,3,1,2,1,,VS,,,8,9,8,2,2,4,7,4,7,5,4,1,3,6,9,1,,1,,8,6,8,8,9,9,7,7,7,5,6,7,2,5,5,2,9,9,9,9,1,4,4,3,3,4,3,"1,2,3,4,5,6,9,10","1,2,3,4,5,6,9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,2,3,,,,,,,,,,10,9,7,9,10,10,10,10,5,7,10,8,7,10,7,39,2,,I think that sometimes one person can't handle one person alone. I think sharing those responsibilities of a relationship makes the relationship more rewarding for everyone involved. 
33,0,1,,0,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,1,,1,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,1,,1,,6,1,1,,,,,,0,10,0,10,10,0,10,0,10,0,7,10,0,3,9,0,,0,,6,10,8,10,10,5,6,7,6,5,5,8,9,5,4,1,1,2,8,8,1,9,7,9,4,4,3,"1,2,3","1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More sex I guess
30,0,4,Demisexual Gay,1,,"5,6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,3,,0,,6,1,1,,,,,,3,5,7,5,7,2,5,3,5,7,6,7,3,5,9,0,,1,,6,6,8,8,9,8,7,7,6,5,7,7,8,7,8,1,8,6,9,9,2,8,4,7,4,4,3,"1,2,4,10","1,2,4,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A small part of it is the sexual adventure of more than one person. The main part of it is that I think two people alone aren’t likely to meet the main needs for each other. A combination of strengths, shared interests and emotional place in life aren’t as likely to match and adding more people can allow different people to meet different needs or to be strong for each other in different ways. "
44,0,3,,0,,6,1,5,1,,MG,,,1,5,8,8,8,1,5,2,5,7,7,7,1,5,9,0,,1,,6,6,8,9,10,10,10,3,3,7,8,9,10,6,6,2,8,8,9,9,1,3,2,2,4,4,3,"1,2,3,4,5,9,10","1,2,3,4,5,9,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,,1,3,,,,,,,,,,6,6,8,8,9,8,8,8,8,6,8,6,6,10,6,41,2,,I believe that it's natural to love more than one person at a time or to be in a relationship with more than one person at a time. Love is infinite not finite. 
44,0,1,,0,,6,1,2,2,,,RB,RF,5,6,7,6,4,3,7,3,6,1,4,4,9,5,9,1,,1,,6,6,8,6,6,7,7,6,4,6,6,6,5,6,6,3,2,6,7,6,2,5,3,4,3,3,4,"1,6",10,6,6,11,6,6,10,10,6,5,6,6,11,10,6,5,44,2,,10,10,10,10,6,6,8,9,10,10,9,10,9,10,45,2,,,,4,4,4,4,,,4,5,4,3,1,2,1,"1,2,3,4,6","1,4,10",,,,,,,,,,,,,,,,,,,It was something that my husband and I were both interested in trying and we went online and both met people and we decided that it was something that we enjoyed doing and as long as we both know what the other is doing then we’re both OK with it
41,1,1,,1,,6,1,2,2,,,jm,as,9,3,7,4,2,1,8,3,4,10,8,6,3,2,1,0,,0,,6,10,8,6,7,7,6,6,6,6,9,6,8,6,6,3,1,1,7,5,3,7,5,4,2,4,2,4,"2,3,4",6,6,1,6,6,6,5,5,5,7,7,6,3,6,7,42,1,,7,6,7,6,9,6,10,9,6,6,8,8,6,6,34,1,,,,3,3,5,4,,,2,3,2,3,1,4,1,"2,4",1,,,,,,,,,,,,,,,,,,,It happened by chance and now I am pretty much stuck. But I love both woman now.
29,1,1,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,1,,1,,6,1,5,2,,,KB,JR,3,7,7,7,7,2,2,3,7,7,7,7,2,2,9,0,,0,,8,7,8,9,9,9,9,9,7,8,8,9,9,8,8,5,3,3,9,8,1,7,6,4,4,4,3,"1,2,4,5,9,10","1,2,4,5,9,10",6,7,11,9,7,8,9,8,9,8,6,8,9,8,6,39,1,,8,5,9,7,9,8,6,6,6,5,8,8,8,5,38,1,,,,2,4,4,2,,,5,5,3,3,3,3,2,"1,2,3,4,5,9,10","1,2,4,5,9,10",,,,,,,,,,,,,,,,,,,"I wanted to have a relationship with 2 people I cared about. We had been casual partners for years, we were all friends and it made sense at the time and has developed into something more serious since then, making the situation more comfortable."
