StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age,sex,sex_orient,sex_orient_4_TEXT,gender,gender_4_TEXT,race,poly_identity,rel_status,num_partners,num_partners_3_TEXT,jealousy_proneness_1,jealousy_intensity_1,bud_allo_1,bud_allo_2,bud_allo_3,bud_allo_4,bud_allo_5,bud_allo_6,bud_allo_7,bud_allo_8,bud_allo_9,bud_allo_10,bud_allo_11,bud_allo_12,bud_allo_13,bud_allo_14,orange_gender ,orange_gender _4_TEXT,blue_gender,self_ambition1,self_ambition2 ,self_intel1,self_intel2,self_kind1 ,self_kind2 ,self_attract1,self_attract2 ,self_finance1 ,self_finance2,self_sexy1 ,self_sexy2,self_status1 ,self_status2 ,entered_poly,openness_poly,monog_attn,poly_attn,actual_a_ambition1,actual_a_ambition2,actual_a_intel1,actual_a_intel2,actual_a_kind1,actual_a_kind2,actual_a_attract1,actual_a_attract2,actual_a_finance1,actual_a_finance2,actual_a_sexy1,actual_a_sexy2,actual_a_status1,actual_a_status2,actual_a_age,actual_a_gender ,actual_a_gender _4_TEXT,actual_b_ambition1,actual_b_ambition2 ,actual_b_intel1,actual_b_intel2 ,actual_b_kind1 ,actual_b_kind2 ,actual_b_attract1,actual_b_attract2,actual_b_finance1,actual_b_finance2 ,actual_b_sexy1 ,actual_b_sexy2 ,actual_b_status1 ,actual_b_status2 ,actual_b_age ,actual_b_gender ,actual_b_gender _4_TEXT,actual_ambition1,actual_ambition2 ,actual_intel1,actual_intel2 ,actual_kind1,actual_kind2,actual_attract1,actual_attract2,actual_finance1,actual_finance2,actual_sexy1,actual_sexy2,actual_status1,actual_status2 ,actual_partner_age ,actual_gender,actual_gender_4_TEXT,textQuality
11/18/22 7:37,11/18/22 7:48,0,47.148.227.239,100,657,1,11/18/22 7:48,R_12mMq59DJ7ZyN8x,,,,,33.8059,-117.3466,anonymous,EN,40,0,1,,1,,6,0,2,1,,2,5,3,3,5,5,8,5,3,5,5,6,5,8,5,4,2,,2,7,8,8,7,9,9,6,6,8,8,7,4,7,7,2,1,They prefer the safety of having more than one partner. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,6,9,10,7,9,6,9,5,7,4,11,11,54,2,,0
11/18/22 7:36,11/18/22 7:49,0,208.157.188.206,100,781,1,11/18/22 7:49,R_2BrrFjqUHHmsCJM,,,,,44.0187,-91.4343,anonymous,EN,47,0,1,,1,,6,0,2,1,,4,7,3,5,6,5,5,4,4,5,5,5,5,6,7,5,1,,2,6,6,7,8,7,7,7,5,4,4,6,5,6,6,2,3,To fufill more needs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,7,7,7,7,7,6,4,4,6,7,5,5,57,2,,0
11/18/22 7:48,11/18/22 7:53,0,67.248.97.95,100,269,1,11/18/22 7:53,R_3n6kxzC9IT9M5cb,,,,,42.87,-77.2791,anonymous,EN,41,0,1,,1,,6,0,2,1,,2,3,5,4,8,4,3,0,6,5,3,7,8,9,1,7,2,,2,9,10,10,10,8,9,9,7,5,5,7,5,7,1,2,1,because the love they have for more than one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,7,7,3,6,6,5,6,6,2,7,5,3,44,2,,0
11/18/22 7:50,11/18/22 7:53,0,76.131.28.235,100,163,1,11/18/22 7:53,R_1cUnmBU0HJ7fyqK,,,,,39.6667,-105.0854,anonymous,EN,35,1,1,,2,,6,0,1,,,,,0,9,10,9,8,0,0,0,9,10,9,6,0,0,1,,1,7,8,8,8,9,9,8,9,8,8,10,9,7,7,2,5,"Scared of commitment, or don't want a lifelong partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 7:53,11/18/22 7:57,0,75.139.154.54,100,247,1,11/18/22 7:57,R_3M6k6KivIYird3m,,,,,34.0797,-83.9328,anonymous,EN,23,0,1,,1,,1,0,1,,,,,3,5,4,1,9,0,7,8,8,7,0,9,0,9,2,,2,9,8,9,9,7,9,8,8,11,8,6,9,9,6,2,1,They want to share love and have companionship with multiple people. They enjoy their company and enjoy sex with multiples. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 7:49,11/18/22 7:58,0,173.184.14.162,100,529,1,11/18/22 7:58,R_28ZnS0w278ksENW,,,,,31.0694,-96.122,anonymous,EN,62,1,2,,2,,6,0,2,1,,1,1,5,5,5,7,5,5,5,5,5,5,6,6,5,1,2,,2,8,9,9,9,10,10,9,8,10,10,9,9,10,10,2,4,I think some people feel that just being with one romantic partner is not enough.  They feel that they are able to give love and support to more than only one person.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,6,7,9,8,9,8,8,9,9,6,9,8,57,2,,0
11/18/22 7:52,11/18/22 7:58,0,50.44.237.54,100,357,1,11/18/22 7:58,R_A7r6cVNXyDuOWpr,,,,,37.7992,-89.0227,anonymous,EN,50,1,1,,2,,6,0,5,1,,5,6,0,6,0,9,10,0,8,0,3,6,8,10,0,10,1,,1,1,1,8,8,2,2,7,7,1,1,7,7,2,2,2,1,"Boredom, no deep connection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,10,10,6,6,9,9,9,10,8,8,53,1,,0
11/18/22 7:52,11/18/22 7:59,0,76.157.3.20,100,453,1,11/18/22 7:59,R_32L9hPbXSJ5iU16,,,,,37.751,-97.822,anonymous,EN,38,0,1,,1,,6,0,2,1,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,,2,6,6,7,7,6,6,6,6,7,6,6,6,6,6,2,2,Because they have a lot of love to give ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,7,7,6,7,6,6,7,6,6,6,6,6,39,2,,0
11/18/22 7:54,11/18/22 8:00,0,174.84.189.133,100,351,1,11/18/22 8:00,R_pN6ClE2pwrhKfv3,,,,,45.3576,-84.9088,anonymous,EN,29,0,1,,1,,6,0,5,1,,7,5,4,4,6,4,9,4,6,4,6,8,6,4,3,2,2,,2,7,8,8,8,4,7,8,7,8,6,6,5,6,5,2,2,to experience different aspects of people simultaneously ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,6,6,10,9,7,7,6,7,7,9,7,6,30,2,,0
11/18/22 7:54,11/18/22 8:01,0,47.133.169.117,100,418,1,11/18/22 8:01,R_3yEqLQnndUTMZIR,,,,,36.4486,-77.6738,anonymous,EN,36,1,1,,2,,2,0,1,,,,,0,4,10,6,9,0,1,0,10,10,9,8,0,3,1,,1,11,10,7,8,6,9,8,6,2,8,8,9,6,4,2,4,freedom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 7:56,11/18/22 8:01,0,107.185.159.8,100,329,1,11/18/22 8:01,R_2RQ9cLUnXpZStIW,,,,,34.1712,-118.5186,anonymous,EN,32,1,1,,2,,1,0,5,1,,3,5,3,6,6,4,5,4,6,7,8,7,4,5,3,2,1,,1,8,7,7,7,8,8,5,6,8,8,4,7,6,4,2,1,The thrill or a different taste of variety among partners.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,9,9,9,10,9,9,9,8,10,10,9,8,30,1,,0
11/18/22 7:55,11/18/22 8:02,0,24.152.217.234,100,460,1,11/18/22 8:02,R_Rh1x67cNw7H54pX,,,,,40.8548,-76.232,anonymous,EN,65,0,1,,1,,6,0,2,1,,5,4,1,1,9,7,8,2,8,1,1,10,7,8,1,6,2,,2,7,8,9,9,8,9,6,6,10,9,5,4,7,7,2,1,Bordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,4,5,5,6,6,6,6,6,3,4,7,5,68,2,,0
11/18/22 7:57,11/18/22 8:04,0,174.212.101.0,100,420,1,11/18/22 8:04,R_2wnxlv2FAbB4qfQ,,,,,36.0571,-86.6729,anonymous,EN,48,1,1,,2,,"1,2",0,2,1,,2,2,3,7,6,7,5,5,5,3,7,6,8,7,1,0,1,,1,8,8,9,10,8,9,4,7,8,8,9,9,10,9,2,2,"People want to explore other sides of themselves that one partner cannot help with. This is the same sentiment with all partners involved. It's not greed or ego-driven, but curiosity and growth-driven ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,8,8,6,7,11,8,6,8,8,6,9,9,46,1,,0
11/18/22 7:59,11/18/22 8:04,0,172.56.13.139,100,328,1,11/18/22 8:04,R_1FjmRK6HwGhdaLf,,,,,37.751,-97.822,anonymous,EN,35,1,1,,2,,6,0,1,,,,,1,5,5,5,5,5,5,6,6,6,6,5,5,5,1,,1,5,3,6,7,7,7,5,5,3,4,5,5,5,5,2,1,Because they have poor impulse control or have an addictive personality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 7:47,11/18/22 8:04,0,68.119.212.6,100,1051,1,11/18/22 8:04,R_afcoa0hfNPNaxAB,,,,,35.7113,-82.5467,anonymous,EN,34,0,1,,1,,"1,3,6",0,5,1,,2,4,2,10,7,8,10,2,8,3,8,0,3,3,3,3,2,,2,7,6,8,9,9,9,8,9,1,5,7,6,9,9,2,1,They prefer to have partners in which they can be more open towards without devoting themselves strictly to one partner. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,9,9,10,10,11,8,5,6,10,9,10,8,40,2,,0
11/18/22 7:58,11/18/22 8:05,0,24.44.106.63,100,414,1,11/18/22 8:05,R_1oaLzesNSDXNkbP,,,,,40.5828,-73.9532,anonymous,EN,57,1,1,,2,,6,0,2,1,,2,5,2,6,6,7,7,5,4,2,6,6,7,7,4,1,1,,1,5,4,7,8,8,9,7,4,8,7,5,7,6,6,2,5,Large sexual desire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,8,7,8,9,7,8,6,3,6,4,7,7,52,1,,0
11/18/22 7:53,11/18/22 8:05,0,72.181.175.53,100,701,1,11/18/22 8:05,R_2SxgyuMyVk6yXNE,,,,,32.915,-96.6751,anonymous,EN,22,1,3,,2,,1,0,5,1,,2,5,4,7,10,4,4,4,4,4,5,5,4,3,3,9,1,,1,5,6,7,8,6,7,7,5,7,7,6,7,6,6,2,3,I think people enter that kind of relationship because they’re unable to stay interested in one person for long periods of time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,6,7,6,7,8,6,5,5,6,4,8,7,22,1,,0
11/18/22 8:01,11/18/22 8:05,0,68.42.19.97,100,279,1,11/18/22 8:05,R_1OrHYq9HId2PNUB,,,,,35.0278,-85.1461,anonymous,EN,42,0,1,,1,,6,0,1,,,,,3,4,4,2,10,5,8,3,5,8,3,10,2,3,2,,2,6,6,6,6,6,11,5,5,3,3,6,6,1,1,2,2,They like both people and want variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 8:02,11/18/22 8:06,0,73.101.93.73,100,238,1,11/18/22 8:06,R_1ovZ8M6jIZeyyZc,,,,,40.0305,-76.2833,anonymous,EN,36,0,1,,1,,6,0,2,1,,2,7,6,5,5,5,7,2,5,6,5,5,8,7,2,2,2,,2,8,9,8,8,8,8,6,7,8,7,6,6,8,8,2,2,"Because one partner can't be everything for everyone, some people don't want to be tied down like that.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,9,9,10,11,9,8,8,7,8,6,8,8,38,2,,0
11/18/22 8:01,11/18/22 8:06,0,108.3.64.56,100,275,1,11/18/22 8:06,R_21gjXwOnuwWmwwZ,,,,,40.4064,-79.9856,anonymous,EN,25,1,1,,2,,6,0,5,1,,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,1,8,7,7,7,6,6,7,8,9,9,7,6,7,7,2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,7,7,8,8,7,8,6,6,8,9,8,7,24,1,,0
11/18/22 8:02,11/18/22 8:06,0,99.32.188.232,100,280,1,11/18/22 8:06,R_2c1sSeytqwjDl8V,,,,,33.7474,-84.3747,anonymous,EN,57,1,1,,2,,6,0,1,,,,,2,8,7,4,5,4,5,1,8,7,4,6,4,5,1,,1,6,5,7,8,5,9,6,7,7,6,5,5,4,6,2,1,The have a voracious need for attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 7:57,11/18/22 8:07,0,76.17.8.178,100,579,1,11/18/22 8:07,R_25YfU2VdopKv5ap,,,,,33.8992,-84.8572,anonymous,EN,29,1,1,,2,,2,0,5,1,,2,4,1,8,0,10,4,3,3,7,5,8,4,5,5,7,1,,1,7,7,6,8,7,9,8,6,6,6,8,9,8,6,2,2,Because they cannot choose between two people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,8,8,8,7,9,9,7,8,8,8,8,7,27,1,,0
11/18/22 7:57,11/18/22 8:07,0,174.109.52.183,100,640,1,11/18/22 8:08,R_s7D5bZICzOm7UwV,,,,,35.7109,-78.6594,anonymous,EN,40,3,5,,5,,7,2,1,,,,,6,5,7,9,10,0,7,3,3,0,10,10,0,0,3,,4,7,7,8,7,8,8,7,5,3,3,5,8,7,7,2,4,I think someone would enter into a polyamorous relationship if they are pro-liberation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 8:03,11/18/22 8:09,0,172.56.27.100,100,329,1,11/18/22 8:09,R_s5boSgvFrMrFhYd,,,,,30.0035,-90.0607,anonymous,EN,27,0,3,,1,,6,0,5,1,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,4,6,5,5,4,8,7,4,1,3,4,5,7,6,6,2,1,they desire having more than one partner - that's how their romantic life has to be fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,8,8,7,9,9,7,7,9,6,6,6,27,3,,0
11/18/22 8:04,11/18/22 8:09,0,100.38.38.49,100,290,1,11/18/22 8:09,R_DMZz97Fseb7PeKJ,,,,,40.8703,-73.8525,anonymous,EN,23,1,1,,2,,2,0,1,,,,,4,8,7,7,8,0,3,8,7,7,8,0,0,3,1,,1,6,6,8,9,9,9,8,6,5,5,7,7,6,6,2,3,They aren't totally satisfied in a monogamous relationship.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 8:01,11/18/22 8:09,0,134.215.53.78,100,465,1,11/18/22 8:09,R_3KH4ucwl8WWQlaP,,,,,40.0026,-86.354,anonymous,EN,54,0,1,,1,,6,0,1,,,,,5,5,5,6,6,3,3,6,6,8,7,7,1,2,2,,2,7,7,7,7,9,9,8,6,6,6,8,7,9,7,2,1,Maybe they feel they need more .  Or maybe they are lacking things in one partner so they get it in another ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 8:03,11/18/22 8:09,0,24.94.27.236,100,370,1,11/18/22 8:09,R_prweirRjUoV896p,,,,,32.7994,-117.1686,anonymous,EN,33,1,1,,2,,6,0,5,1,,2,3,1,10,2,10,5,5,1,5,5,5,5,5,5,6,1,,1,8,9,8,8,8,9,11,8,6,8,10,10,9,9,2,1,"To have relationships with people who ""check off"" different ""boxes"" in one's relationship goals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,10,10,10,10,10,10,8,9,9,10,8,7,31,1,,0
11/18/22 8:01,11/18/22 8:10,0,108.26.32.196,100,509,1,11/18/22 8:10,R_24je0BiprmjNPEZ,,,,,43.1723,-76.1032,anonymous,EN,60,0,1,,1,,6,0,2,1,,3,4,1,4,7,7,9,3,3,2,5,7,7,9,3,3,2,,2,6,6,8,8,8,9,6,6,5,6,7,4,6,6,2,2,"If I felt strong romantic feelings towards another person, and it was acceptable to my husband.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,8,8,5,9,8,7,4,5,6,6,5,5,53,2,,0
11/18/22 7:58,11/18/22 8:10,0,47.221.0.100,100,728,1,11/18/22 8:10,R_2QldJeFXtJ527UU,,,,,30.031,-95.2631,anonymous,EN,40,0,1,,1,,"2,6",0,1,,,,,1,7,8,10,8,0,3,1,6,7,10,7,0,2,2,,2,8,6,9,9,10,11,8,7,8,7,9,11,8,8,2,3,"just like one can have more than one ""best"" friend, I believe that we CAN be attracted to more than one person sexually and emotionally at the same time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 8:00,11/18/22 8:10,0,207.254.246.124,100,587,1,11/18/22 8:10,R_1DzCZGA3ZyY2ipF,,,,,32.5434,-93.7011,anonymous,EN,28,0,3,,1,,6,0,4,1,,6,7,2,8,7,5,10,0,3,2,8,7,5,10,0,3,2,,1,4,3,7,6,5,6,5,4,5,6,8,5,4,2,2,5,"Love, support, companionship, attention, affection, etc. Sex with the homies essentially.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,6,6,8,8,7,9,7,5,10,4,4,31,2,,0
11/18/22 8:05,11/18/22 8:10,0,67.187.194.86,100,310,1,11/18/22 8:10,R_33DpaHok6s21WEN,,,,,38.6639,-121.3388,anonymous,EN,26,1,4,asexual,2,,6,1,5,2,,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,,2,11,11,11,11,11,11,6,3,11,11,6,6,8,11,,,,I didn't have any motivation for it.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,26,2,,8,7,9,6,9,10,9,6,8,8,6,6,8,8,23,2,,,,,,,,,,,,,,,,,,,0
11/18/22 8:00,11/18/22 8:11,0,149.125.110.235,100,601,1,11/18/22 8:11,R_2cuzXkFZpqLRDzj,,,,,42.103,-75.8881,anonymous,EN,21,1,3,,2,,6,1,1,,,,,4,4,6,6,6,4,4,6,6,5,6,4,4,5,1,,2,5,5,7,7,6,7,6,7,5,5,6,8,6,6,1,,,"It sounded interesting, and fun, and I sort of chafe at the ""possessiveness"" of monogamy and really appreciate relationships that can be built on trust and openness without possession.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 8:04,11/18/22 8:11,0,76.36.176.127,100,417,1,11/18/22 8:11,R_1P0I9nmc7CoiILx,,,,,36.0617,-79.8239,anonymous,EN,34,1,1,,2,,6,0,2,1,,2,2,7,7,7,7,7,1,7,3,6,5,2,5,1,5,1,,1,8,8,9,9,9,9,9,6,9,9,9,6,9,9,2,2,variety of traits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,11,11,11,10,11,11,8,6,11,11,11,11,31,1,,0
11/18/22 8:07,11/18/22 8:11,0,73.88.60.66,100,247,1,11/18/22 8:11,R_sjRaKmwtWspiYxj,,,,,45.0196,-93.2402,anonymous,EN,26,0,1,,1,,6,0,5,1,,1,4,5,5,7,6,7,7,8,5,5,4,4,3,1,3,2,,2,8,9,8,9,11,11,9,8,10,8,7,6,9,9,2,1,They like multiple people ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,11,11,8,9,10,7,10,10,8,11,10,10,25,2,,0
11/18/22 8:04,11/18/22 8:12,0,198.137.18.14,100,513,1,11/18/22 8:12,R_1Do1EIXZs8NazL5,,,,,33.9332,-83.3536,anonymous,EN,19,0,1,,1,,1,0,1,,,,,4,9,8,9,7,2,4,3,6,3,2,5,1,7,2,,2,9,9,9,8,6,7,9,9,3,4,9,9,9,8,2,1,Maybe one partner can give something that the other cannot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 8:04,11/18/22 8:13,0,107.77.195.37,100,516,1,11/18/22 8:13,R_21iynIfkt6c2krg,,,,,42.4248,-83.1951,anonymous,EN,19,0,2,,1,,"5,6",0,5,1,,2,5,7,7,7,0,10,0,5,7,6,6,0,10,0,5,3,,1,6,6,8,7,8,9,8,8,5,5,6,5,6,6,2,4,They want to explore and have lots of love to give.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,9,9,9,9,11,11,7,6,9,7,6,6,18,3,,0
11/18/22 8:07,11/18/22 8:13,0,172.73.115.122,100,326,1,11/18/22 8:13,R_1oviMkduKOrUfzj,,,,,35.3135,-81.5599,anonymous,EN,34,0,3,,1,,6,0,5,1,,5,5,4,3,7,6,7,2,6,4,3,7,6,7,2,6,2,,1,4,3,7,6,6,8,3,2,5,4,5,7,6,4,2,2,To have varied relationship experiences.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,8,8,5,7,6,6,3,3,6,6,7,6,42,2,,0
11/18/22 8:05,11/18/22 8:14,0,68.191.158.27,100,483,1,11/18/22 8:14,R_3MDJc035OygOnx4,,,,,45.3134,-93.5809,anonymous,EN,42,1,1,,2,,6,0,2,1,,6,6,4,5,7,5,10,2,4,0,5,7,5,10,2,4,1,,1,7,7,9,8,7,7,7,6,6,7,9,7,7,6,2,1,To attempt to have their needs more fully satisfied than what they receive in a monogamous relationship.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,8,6,8,5,10,10,1,2,9,4,4,4,35,3,,0
11/18/22 8:05,11/18/22 8:14,0,173.71.170.203,100,530,1,11/18/22 8:14,R_AAlTouFe0gSaa5j,,,,,40.5457,-80.0508,anonymous,EN,49,1,1,,2,,6,0,2,1,,1,5,3,5,3,6,6,8,5,3,5,3,6,6,3,8,1,,1,8,8,6,7,6,9,9,5,10,10,6,5,9,9,2,1,They believe one person can't meet all their needs.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,6,6,3,8,6,7,9,5,6,7,4,4,48,1,,0
11/18/22 7:59,11/18/22 8:14,0,107.127.53.16,100,915,1,11/18/22 8:14,R_3p5RkopvCXnte5h,,,,,36.1671,-86.7861,anonymous,EN,42,0,1,,1,,6,0,1,,,,,3,3,6,6,4,3,4,6,5,7,6,7,4,6,2,,2,6,6,6,7,8,10,7,8,5,5,7,8,5,6,2,2,"For variety. Also, maybe one partner for stability and one for fun. Or perpaps they love them both and don't believe in conforming to societal constraints like monogamy. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 8:08,11/18/22 8:14,0,73.192.242.218,100,393,1,11/18/22 8:14,R_0oM8tkO5kw0Ql9v,,,,,36.7943,-119.8856,anonymous,EN,22,0,1,,1,,3,0,1,,,,,5,7,6,6,6,4,5,4,5,4,6,5,3,4,2,,2,6,6,6,6,6,6,6,6,5,5,6,7,6,5,2,2,Someone would enter this type of relationship if they are completely secure with themselves and their partners so that they can all benefit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 8:11,11/18/22 8:14,0,108.227.234.132,100,221,1,11/18/22 8:14,R_2zvTxF4DD8c8Z7U,,,,,39.7668,-86.4013,anonymous,EN,32,1,1,,2,,1,0,2,1,,2,2,2,2,1,2,2,2,6,4,9,0,10,10,10,10,1,,1,10,10,9,9,4,7,7,6,9,7,6,8,7,8,2,4,To keep things exciting ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,7,7,6,7,6,6,6,7,8,10,6,8,27,1,,0
11/18/22 8:09,11/18/22 8:14,0,47.225.144.66,100,305,1,11/18/22 8:14,R_yjYTrq1ES95p5Dj,,,,,42.4544,-85.5994,anonymous,EN,35,1,1,,2,,6,0,5,1,,2,3,2,8,6,8,6,0,5,2,8,6,8,6,0,5,1,,1,6,5,11,11,9,10,8,8,7,8,8,11,8,8,2,4,Financial stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,8,9,11,10,8,8,9,8,10,8,10,9,30,1,,0
11/18/22 8:05,11/18/22 8:15,0,73.230.129.184,100,559,1,11/18/22 8:15,R_22sGllUGJi0heVo,,,,,41.2723,-75.8887,anonymous,EN,46,1,1,,2,,6,0,2,1,,2,6,7,9,8,8,2,1,3,10,4,3,7,3,0,5,1,,1,6,5,6,6,6,6,3,3,1,6,8,1,6,6,2,2,Two get the best of both worlds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,9,9,11,10,10,7,5,9,6,10,9,9,47,1,,0
11/18/22 8:07,11/18/22 8:15,0,129.7.0.148,100,435,1,11/18/22 8:15,R_2f3D90eTI7ucjp3,,,,,29.7373,-95.3972,anonymous,EN,21,1,1,,2,,1,0,1,,,,,5,3,3,4,6,3,4,7,5,8,6,8,4,4,1,,1,7,7,8,7,6,7,6,5,7,8,6,7,4,4,2,1,If there is a benefit for all 3 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 7:48,11/18/22 8:15,0,69.119.70.161,100,1610,1,11/18/22 8:15,R_eyrDHh5mC5FqmDn,,,,,40.871,-73.051,anonymous,EN,34,0,1,,1,,6,0,2,1,,6,5,2,3,5,0,6,0,7,6,8,6,6,8,5,8,2,,2,5,5,5,4,8,9,5,4,4,3,6,6,5,4,2,1,Religious beliefs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,7,7,7,8,8,7,8,8,11,10,8,7,40,2,,0
11/18/22 7:57,11/18/22 8:17,0,63.160.189.101,100,1162,1,11/18/22 8:17,R_1fee1QAeUTm6W0c,,,,,34.0014,-84.0144,anonymous,EN,35,1,1,,2,,6,0,2,1,,2,2,6,3,4,6,4,6,5,5,5,5,5,5,5,6,2,,2,6,11,11,11,11,8,10,11,10,11,11,11,11,7,2,1,Unsatisfied relationship with his partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,11,11,11,10,11,11,10,11,11,11,10,10,29,1,,0
11/18/22 8:09,11/18/22 8:17,0,24.96.67.199,100,466,1,11/18/22 8:17,R_1jHST9m0MHatr18,,,,,27.9785,-82.7827,anonymous,EN,53,1,1,,2,,6,0,2,1,,2,3,0,8,8,5,8,2,6,0,8,5,5,7,5,3,1,,1,6,5,9,8,7,8,7,6,10,8,6,5,7,6,2,1,I really have no idea why someone would. Gen z and younger gen x which is primarily what these people are is really confused. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,6,6,10,8,9,6,7,6,5,8,1,52,1,,0
11/18/22 8:09,11/18/22 8:17,0,97.113.87.231,100,481,1,11/18/22 8:17,R_126h6fDkiQYPf6h,,,,,47.5741,-122.3975,anonymous,EN,41,0,1,,1,,6,0,2,1,,3,3,6,7,6,9,7,3,0,5,5,4,4,5,4,5,2,,2,9,8,9,8,6,7,7,7,10,9,7,3,7,7,2,1,Want more sexual partners or want to be with people of different genders ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,10,10,9,9,8,7,11,10,8,7,9,8,39,2,,0
11/18/22 8:11,11/18/22 8:17,0,75.74.98.40,100,373,1,11/18/22 8:17,R_1INoCK14Gk4lJGm,,,,,25.6666,-80.4036,anonymous,EN,89,0,1,,1,,6,0,1,,,,,0,10,10,10,10,0,0,0,0,10,0,10,0,10,2,,2,6,3,7,6,6,6,5,6,3,3,2,1,4,5,2,1,They have unmet needs and/or were not loved as children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
