StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age,sex,sex_orient,sex_orient_4_TEXT,gender,gender_4_TEXT,race,poly_identity,rel_status,num_partners,num_partners_3_TEXT,jealousy_proneness_1,jealousy_intensity_1,bud_allo_1,bud_allo_2,bud_allo_3,bud_allo_4,bud_allo_5,bud_allo_6,bud_allo_7,bud_allo_8,bud_allo_9,bud_allo_10,bud_allo_11,bud_allo_12,bud_allo_13,bud_allo_14,orange_gender ,orange_gender _4_TEXT,blue_gender,self_ambition1,self_ambition2 ,self_intel1,self_intel2,self_kind1 ,self_kind2 ,self_attract1,self_attract2 ,self_finance1 ,self_finance2,self_sexy1 ,self_sexy2,self_status1 ,self_status2 ,entered_poly,openness_poly,monog_attn,poly_attn,actual_a_ambition1,actual_a_ambition2,actual_a_intel1,actual_a_intel2,actual_a_kind1,actual_a_kind2,actual_a_attract1,actual_a_attract2,actual_a_finance1,actual_a_finance2,actual_a_sexy1,actual_a_sexy2,actual_a_status1,actual_a_status2,actual_a_age,actual_a_gender ,actual_a_gender _4_TEXT,actual_b_ambition1,actual_b_ambition2 ,actual_b_intel1,actual_b_intel2 ,actual_b_kind1 ,actual_b_kind2 ,actual_b_attract1,actual_b_attract2,actual_b_finance1,actual_b_finance2 ,actual_b_sexy1 ,actual_b_sexy2 ,actual_b_status1 ,actual_b_status2 ,actual_b_age ,actual_b_gender ,actual_b_gender _4_TEXT,actual_ambition1,actual_ambition2 ,actual_intel1,actual_intel2 ,actual_kind1,actual_kind2,actual_attract1,actual_attract2,actual_finance1,actual_finance2,actual_sexy1,actual_sexy2,actual_status1,actual_status2 ,actual_partner_age ,actual_gender,actual_gender_4_TEXT
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_81W5QVTyRrcGvqu,,,,,34.4373,-119.8341,test,,104,Female,Heterosexual,,Prefer not to say,,Prefer not to say,"No, I do not consider myself polyamorous.",Engaged,3 or more (please specify how many):,21,5,6,1,4,5,3,2,2,2,4,2,10,8,7,10,10,Non-binary,,Male,Average (Top 50 out of 100 people),Extremely unambitious(Bottom 1 out of 100 people),(Bottom 32 out of 100 people),Average (Top 50 out of 100 people),Extremely selfish(Bottom 1 out of 100 people),Extremely inconsiderate(Bottom 1 out of 100 people),(Top 18 out of 100 people),Average (Top 50 out of 100 people),(Bottom 8 out of 100 people),(Bottom 8 out of 100 people),Average (Top 50 out of 100 people),(Bottom 8 out of 100 people),(Top 18 out of 100 people),(Bottom 18 out of 100 people),,,,Nonummy dapibus euismod vitae fusce vivamus. Blandit phasellus mauris ridiculus.,Extremely apathetic(Bottom 1 out of 100 people),(Top 3 out of 100 people),(Top 18 out of 100 people),Extremely knowledgeable(Top 1 out of 100 people),(Bottom 8 out of 100 people),(Bottom 18 out of 100 people),(Bottom 3 out of 100 people),(Top 18 out of 100 people),(Bottom 18 out of 100 people),(Bottom 3 out of 100 people),Extremely good in bed(Top 1 out of 100 people),(Top 8 out of 100 people),(Bottom 32 out of 100 people),(Top 32 out of 100 people),109,Non-binary,,(Top 18 out of 100 people),(Top 3 out of 100 people),Average (Top 50 out of 100 people),(Bottom 18 out of 100 people),(Bottom 18 out of 100 people),Average (Top 50 out of 100 people),Extremely attractive face(Top 1 out of 100 people),(Top 32 out of 100 people),(Top 3 out of 100 people),(Bottom 18 out of 100 people),(Top 8 out of 100 people),(Top 32 out of 100 people),Average (Top 50 out of 100 people),(Top 3 out of 100 people),67,An option not listed here,Phasellus justo ridiculus sed magnis est eu praesent curabitur leo pretium ab amet.,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,1,TRUE,11/17/22 13:34,R_3K6sWBqQtFSsVjo,,,,,34.4373,-119.8341,test,,70,Male,An option not listed here,"Mauris facilisis, eros est ante curabitur ullamcorper! Diam mattis platea atque neque, natoque fusce.",Prefer not to say,,Prefer not to say,Prefer not to say,In a relationship,2,,2,3,0,6,3,10,9,6,8,2,2,8,5,7,3,1,Female,,Non-binary,(Top 3 out of 100 people),(Bottom 32 out of 100 people),(Top 8 out of 100 people),Extremely knowledgeable(Top 1 out of 100 people),(Bottom 3 out of 100 people),(Bottom 8 out of 100 people),(Bottom 8 out of 100 people),(Top 18 out of 100 people),(Bottom 32 out of 100 people),(Top 3 out of 100 people),(Bottom 32 out of 100 people),Extremely weak sexual desire(Bottom 1 out of 100 people),Average (Top 50 out of 100 people),(Top 32 out of 100 people),,,,"Ultrices dapibus convallis, ut potenti? Tortor. Vulputate culpa tempus? Natoque pellentesque ipsum nullam.",Extremely apathetic(Bottom 1 out of 100 people),(Bottom 18 out of 100 people),(Top 18 out of 100 people),(Bottom 32 out of 100 people),(Top 3 out of 100 people),(Top 32 out of 100 people),(Top 18 out of 100 people),(Bottom 3 out of 100 people),Extremely financially unstable(Bottom 1 out of 100 people),(Top 18 out of 100 people),(Bottom 3 out of 100 people),(Bottom 32 out of 100 people),Extremely disrespected by others(Bottom 1 out of 100 people),Average (Top 50 out of 100 people),84,Non-binary,,(Bottom 18 out of 100 people),(Bottom 3 out of 100 people),(Top 18 out of 100 people),Extremely ignorant(Bottom 1 out of 100 people),Average (Top 50 out of 100 people),Extremely considerate(Top 1 out of 100 people),Average (Top 50 out of 100 people),Extremely attractive body(Top 1 out of 100 people),(Top 32 out of 100 people),(Bottom 8 out of 100 people),(Bottom 3 out of 100 people),(Top 3 out of 100 people),(Top 8 out of 100 people),(Bottom 32 out of 100 people),41,An option not listed here,Lorem neque nullam! Placerat? Eu odio integer malesuada atque maecenas metus curabitur consequat.,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_bvjtnKVKdKezpv8,,,,,34.4373,-119.8341,test,,93,Female,Prefer not to say,,Non-binary,,"Black or African American,Hispanic or Latino,Middle Eastern or North African","No, I do not consider myself polyamorous.",In a relationship,Prefer not to say,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_4VAQDXMHUPPkwNE,,,,,34.4373,-119.8341,test,,40,Intersex,Bisexual,,Prefer not to say,,"Middle Eastern or North African,Native American or American Indian","Yes, I consider myself polyamorous.",In a relationship,3 or more (please specify how many):,47,1,6,6,0,10,3,3,2,0,1,4,10,10,2,10,9,Female,,An option not listed here,(Bottom 8 out of 100 people),(Bottom 32 out of 100 people),(Bottom 18 out of 100 people),(Top 3 out of 100 people),(Top 32 out of 100 people),Extremely inconsiderate(Bottom 1 out of 100 people),(Bottom 32 out of 100 people),(Bottom 3 out of 100 people),(Bottom 8 out of 100 people),(Top 8 out of 100 people),Extremely bad in bed(Bottom 1 out of 100 people),Extremely strong sexual desire(Top 1 out of 100 people),(Bottom 3 out of 100 people),Average (Top 50 out of 100 people),,,,Phasellus sagittis dolor est facilisis blandit tincidunt porta nibh purus potenti curabitur. Curabitur.,Average (Top 50 out of 100 people),(Bottom 32 out of 100 people),Extremely intelligent(Top 1 out of 100 people),(Bottom 8 out of 100 people),Extremely generous(Top 1 out of 100 people),(Top 18 out of 100 people),(Top 32 out of 100 people),(Top 3 out of 100 people),(Bottom 8 out of 100 people),(Bottom 8 out of 100 people),(Top 8 out of 100 people),(Bottom 18 out of 100 people),(Bottom 3 out of 100 people),Extremely looked down upon by others(Bottom 1 out of 100 people),90,Male,,(Top 32 out of 100 people),(Top 3 out of 100 people),Extremely unintelligent(Bottom 1 out of 100 people),(Top 3 out of 100 people),(Bottom 18 out of 100 people),(Top 8 out of 100 people),Extremely unattractive face(Bottom 1 out of 100 people),Extremely attractive body(Top 1 out of 100 people),(Top 32 out of 100 people),(Top 32 out of 100 people),(Bottom 18 out of 100 people),(Top 8 out of 100 people),(Top 18 out of 100 people),Extremely looked up to by others(Top 1 out of 100 people),16,Male,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_1Nw2ogenCe3QpJs,,,,,34.4373,-119.8341,test,,80,Female,Homosexual,,Female,,"Black or African American,Native American or American Indian","Yes, I consider myself polyamorous.",Single,,,,,10,8,5,0,0,5,2,2,8,2,9,2,8,9,Male,,Female,(Top 3 out of 100 people),(Top 18 out of 100 people),Average (Top 50 out of 100 people),Extremely ignorant(Bottom 1 out of 100 people),(Bottom 3 out of 100 people),(Bottom 3 out of 100 people),(Top 3 out of 100 people),(Bottom 18 out of 100 people),(Bottom 8 out of 100 people),Extremely poor earning potential(Bottom 1 out of 100 people),Extremely good in bed(Top 1 out of 100 people),(Bottom 8 out of 100 people),(Bottom 18 out of 100 people),(Top 18 out of 100 people),Yes,,,"Viverra, vitae posuere malesuada sed sollicitudin ipsum ante tellus wisi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_1BNxl6ZTnzsOVGm,,,,,34.4373,-119.8341,test,,47,Prefer not to say,Prefer not to say,,Prefer not to say,,"Middle Eastern or North African,White","Yes, I consider myself polyamorous.",Engaged,Prefer not to say,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_dpa6f1XH4AbXaSy,,,,,34.4373,-119.8341,test,,24,Intersex,Bisexual,,Non-binary,,"Middle Eastern or North African,Native American or American Indian",Prefer not to say,Prefer not to say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_6JoPRhsXQoD5T6u,,,,,34.4373,-119.8341,test,,62,Female,Heterosexual,,An option not listed here,Ut lorem leo donec ultrices fusce ut scelerisque morbi rutrum.,Prefer not to say,Prefer not to say,In a relationship,2,,4,7,4,10,5,1,7,2,6,2,8,9,3,4,5,4,Female,,Female,Extremely apathetic(Bottom 1 out of 100 people),(Top 32 out of 100 people),(Top 8 out of 100 people),Average (Top 50 out of 100 people),(Top 18 out of 100 people),(Bottom 8 out of 100 people),(Bottom 18 out of 100 people),(Top 18 out of 100 people),Average (Top 50 out of 100 people),Extremely good earning potential(Top 1 out of 100 people),(Bottom 8 out of 100 people),(Bottom 3 out of 100 people),(Top 32 out of 100 people),(Bottom 8 out of 100 people),,,,Sed. Ultricies etiam molestie? Lorem mauris. Quis. Rhoncus lectus faucibus bibendum.,Average (Top 50 out of 100 people),(Bottom 18 out of 100 people),(Bottom 8 out of 100 people),(Top 32 out of 100 people),Extremely generous(Top 1 out of 100 people),(Top 32 out of 100 people),(Top 32 out of 100 people),(Bottom 8 out of 100 people),(Top 18 out of 100 people),(Bottom 18 out of 100 people),(Bottom 32 out of 100 people),(Top 3 out of 100 people),(Top 18 out of 100 people),(Bottom 3 out of 100 people),50,Non-binary,,(Top 3 out of 100 people),(Top 18 out of 100 people),(Top 3 out of 100 people),Extremely knowledgeable(Top 1 out of 100 people),(Bottom 18 out of 100 people),(Bottom 3 out of 100 people),Average (Top 50 out of 100 people),(Bottom 32 out of 100 people),(Top 18 out of 100 people),(Bottom 18 out of 100 people),(Top 18 out of 100 people),Average (Top 50 out of 100 people),(Top 3 out of 100 people),(Bottom 8 out of 100 people),49,Female,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_blTlIjBPEi3S2ea,,,,,34.4373,-119.8341,test,,64,Female,Homosexual,,Female,,"Black or African American,Middle Eastern or North African,White","Yes, I consider myself polyamorous.",Single,,,,,7,6,9,3,0,4,0,1,8,5,2,6,10,9,Female,,Male,(Top 18 out of 100 people),(Top 32 out of 100 people),(Bottom 3 out of 100 people),(Bottom 32 out of 100 people),(Top 32 out of 100 people),(Bottom 18 out of 100 people),Extremely unattractive face(Bottom 1 out of 100 people),(Bottom 18 out of 100 people),(Bottom 32 out of 100 people),Extremely poor earning potential(Bottom 1 out of 100 people),Extremely bad in bed(Bottom 1 out of 100 people),(Top 3 out of 100 people),(Top 32 out of 100 people),(Top 8 out of 100 people),Yes,,,"Duis nec erat dictumst mauris turpis sollicitudin, quis dignissim egestas auctor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_86BxVb8yGS3edDg,,,,,34.4373,-119.8341,test,,41,Intersex,Homosexual,,Non-binary,,Prefer not to say,"No, I do not consider myself polyamorous.",Engaged,3 or more (please specify how many):,63,7,4,4,1,10,10,2,5,8,1,1,5,9,3,7,4,Male,,Male,Extremely apathetic(Bottom 1 out of 100 people),(Top 18 out of 100 people),(Bottom 3 out of 100 people),(Bottom 8 out of 100 people),(Bottom 3 out of 100 people),(Top 8 out of 100 people),(Bottom 18 out of 100 people),(Top 8 out of 100 people),Extremely financially unstable(Bottom 1 out of 100 people),(Bottom 32 out of 100 people),(Bottom 18 out of 100 people),Extremely weak sexual desire(Bottom 1 out of 100 people),(Top 3 out of 100 people),Extremely looked up to by others(Top 1 out of 100 people),,,,"Massa et sed. Dictumst. Tempus eget justo ante. Pretium sed malesuada, elementum sapien magnis vel.",(Bottom 18 out of 100 people),Extremely ambitious(Top 1 out of 100 people),(Top 32 out of 100 people),(Bottom 18 out of 100 people),(Bottom 18 out of 100 people),(Top 3 out of 100 people),(Bottom 8 out of 100 people),(Top 18 out of 100 people),(Bottom 3 out of 100 people),(Bottom 8 out of 100 people),Average (Top 50 out of 100 people),(Top 18 out of 100 people),(Top 18 out of 100 people),Extremely looked down upon by others(Bottom 1 out of 100 people),95,Non-binary,,(Top 18 out of 100 people),(Bottom 8 out of 100 people),(Bottom 32 out of 100 people),(Bottom 8 out of 100 people),Average (Top 50 out of 100 people),Extremely inconsiderate(Bottom 1 out of 100 people),Extremely unattractive face(Bottom 1 out of 100 people),(Top 18 out of 100 people),(Bottom 18 out of 100 people),(Bottom 3 out of 100 people),Average (Top 50 out of 100 people),(Top 8 out of 100 people),(Top 3 out of 100 people),(Top 18 out of 100 people),90,Male,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,1,TRUE,11/17/22 13:34,R_1U1iCRQ4BmkZ4q2,,,,,34.4373,-119.8341,test,,78,Female,Heterosexual,,Female,,"Asian or Pacific Islander,Native American or American Indian","Yes, I consider myself polyamorous.",Married,1,,2,2,4,9,9,9,0,0,10,0,8,3,0,5,8,5,Female,,Male,(Top 8 out of 100 people),(Bottom 3 out of 100 people),(Top 3 out of 100 people),(Top 32 out of 100 people),(Top 32 out of 100 people),(Top 18 out of 100 people),(Top 32 out of 100 people),(Bottom 18 out of 100 people),(Top 18 out of 100 people),(Top 32 out of 100 people),Extremely good in bed(Top 1 out of 100 people),(Top 18 out of 100 people),(Bottom 8 out of 100 people),(Bottom 18 out of 100 people),No,Neither agree nor disagree,Enim vulputate tempora massa odio! Eros cras tortor convallis porttitor ipsum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Top 18 out of 100 people),Extremely ambitious(Top 1 out of 100 people),(Bottom 3 out of 100 people),(Top 8 out of 100 people),Average (Top 50 out of 100 people),(Top 18 out of 100 people),Average (Top 50 out of 100 people),(Top 32 out of 100 people),Extremely financially unstable(Bottom 1 out of 100 people),(Top 18 out of 100 people),(Bottom 32 out of 100 people),(Bottom 3 out of 100 people),Extremely disrespected by others(Bottom 1 out of 100 people),(Bottom 3 out of 100 people),Eleifend mattis cursus nibh fermentum? Diam tincidunt vehicula duis enim.,Male,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_78MEsDlaSwPTCaW,,,,,34.4373,-119.8341,test,,50,Male,Bisexual,,Non-binary,,Prefer not to say,Prefer not to say,In a relationship,3 or more (please specify how many):,65,2,3,10,7,6,1,0,7,7,4,9,8,5,1,5,0,Non-binary,,Non-binary,Average (Top 50 out of 100 people),(Bottom 18 out of 100 people),Extremely unintelligent(Bottom 1 out of 100 people),(Top 8 out of 100 people),(Top 32 out of 100 people),(Bottom 18 out of 100 people),(Bottom 8 out of 100 people),(Top 3 out of 100 people),(Bottom 18 out of 100 people),Extremely poor earning potential(Bottom 1 out of 100 people),Average (Top 50 out of 100 people),(Top 32 out of 100 people),(Bottom 8 out of 100 people),Extremely looked down upon by others(Bottom 1 out of 100 people),,,,Faucibus nec arcu quis. Risus commodo. Malesuada lorem? In! At risus facilisis. Convallis sem.,(Top 8 out of 100 people),Extremely unambitious(Bottom 1 out of 100 people),(Top 32 out of 100 people),(Bottom 32 out of 100 people),Average (Top 50 out of 100 people),Average (Top 50 out of 100 people),Average (Top 50 out of 100 people),(Top 18 out of 100 people),(Bottom 18 out of 100 people),Average (Top 50 out of 100 people),(Top 32 out of 100 people),Average (Top 50 out of 100 people),Extremely respected by others(Top 1 out of 100 people),(Top 8 out of 100 people),51,Non-binary,,(Top 8 out of 100 people),(Bottom 32 out of 100 people),(Top 18 out of 100 people),(Bottom 3 out of 100 people),(Bottom 3 out of 100 people),(Top 18 out of 100 people),(Bottom 32 out of 100 people),(Bottom 8 out of 100 people),Average (Top 50 out of 100 people),Average (Top 50 out of 100 people),Extremely good in bed(Top 1 out of 100 people),(Top 8 out of 100 people),Extremely respected by others(Top 1 out of 100 people),(Top 3 out of 100 people),75,Non-binary,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_eIF99mOyhQ9Bhbw,,,,,34.4373,-119.8341,test,,64,Intersex,An option not listed here,"Pharetra, diam tempora pede proin consectetuer facilisi. Donec convallis justo sollicitudin.",Male,,Prefer not to say,"Yes, I consider myself polyamorous.",Prefer not to say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,1,TRUE,11/17/22 13:34,R_do4SJLGHRCzL3D0,,,,,34.4373,-119.8341,test,,55,Female,Heterosexual,,Non-binary,,Prefer not to say,Prefer not to say,Engaged,3 or more (please specify how many):,49,7,7,2,9,2,10,4,7,6,5,1,4,8,7,5,0,Female,,An option not listed here,(Bottom 32 out of 100 people),(Top 8 out of 100 people),Average (Top 50 out of 100 people),(Top 3 out of 100 people),(Top 32 out of 100 people),Extremely considerate(Top 1 out of 100 people),(Top 8 out of 100 people),Extremely attractive body(Top 1 out of 100 people),Average (Top 50 out of 100 people),(Bottom 3 out of 100 people),(Bottom 3 out of 100 people),(Top 3 out of 100 people),(Bottom 3 out of 100 people),(Top 3 out of 100 people),,,,Dignissim dictumst nibh laoreet curabitur in nec. Phasellus placerat justo molestie pede fusce massa.,(Top 18 out of 100 people),Extremely unambitious(Bottom 1 out of 100 people),(Top 18 out of 100 people),(Top 18 out of 100 people),(Bottom 18 out of 100 people),Extremely inconsiderate(Bottom 1 out of 100 people),(Top 18 out of 100 people),Extremely unattractive body(Bottom 1 out of 100 people),(Bottom 3 out of 100 people),Extremely good earning potential(Top 1 out of 100 people),(Bottom 3 out of 100 people),Extremely strong sexual desire(Top 1 out of 100 people),(Top 18 out of 100 people),(Top 32 out of 100 people),102,Non-binary,,(Top 32 out of 100 people),(Bottom 18 out of 100 people),Extremely intelligent(Top 1 out of 100 people),Extremely ignorant(Bottom 1 out of 100 people),(Top 3 out of 100 people),(Bottom 8 out of 100 people),(Top 8 out of 100 people),Extremely unattractive body(Bottom 1 out of 100 people),(Bottom 8 out of 100 people),(Bottom 18 out of 100 people),(Top 18 out of 100 people),(Bottom 3 out of 100 people),Extremely respected by others(Top 1 out of 100 people),(Bottom 8 out of 100 people),26,An option not listed here,"Fringilla. Arcu eget lacus tempora, ultricies praesent dolor consequat culpa.",,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_ex2VPKAAszzdKJM,,,,,34.4373,-119.8341,test,,110,Prefer not to say,Homosexual,,An option not listed here,Dolorem enim! Luctus sed? Dolorem. Consequat. Suscipit venenatis tellus platea.,Prefer not to say,"Yes, I consider myself polyamorous.",Prefer not to say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_3gYiywRK4GIILqe,,,,,34.4373,-119.8341,test,,43,Prefer not to say,Heterosexual,,Female,,Prefer not to say,"No, I do not consider myself polyamorous.",Engaged,Prefer not to say,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_cIo67K3AtQsfDU2,,,,,34.4373,-119.8341,test,,104,Female,Homosexual,,Prefer not to say,,"Asian or Pacific Islander,Black or African American,Middle Eastern or North African","Yes, I consider myself polyamorous.",In a relationship,3 or more (please specify how many):,28,3,6,10,6,3,2,1,2,6,6,2,6,2,7,10,7,Male,,Male,(Top 8 out of 100 people),(Bottom 32 out of 100 people),Extremely unintelligent(Bottom 1 out of 100 people),(Top 8 out of 100 people),(Top 8 out of 100 people),(Top 3 out of 100 people),Average (Top 50 out of 100 people),Extremely attractive body(Top 1 out of 100 people),(Top 32 out of 100 people),Extremely good earning potential(Top 1 out of 100 people),(Top 3 out of 100 people),(Bottom 8 out of 100 people),(Top 8 out of 100 people),(Top 8 out of 100 people),,,,Sagittis nibh dignissim velit. Mattis? Lacus. Tortor. Tempor vestibulum primis ultrices sagittis. At.,Extremely driven(Top 1 out of 100 people),(Bottom 32 out of 100 people),(Top 3 out of 100 people),(Top 18 out of 100 people),Extremely selfish(Bottom 1 out of 100 people),(Bottom 18 out of 100 people),(Top 18 out of 100 people),Extremely unattractive body(Bottom 1 out of 100 people),(Top 18 out of 100 people),(Top 8 out of 100 people),(Top 18 out of 100 people),(Bottom 8 out of 100 people),(Bottom 32 out of 100 people),(Bottom 18 out of 100 people),11,Non-binary,,(Bottom 3 out of 100 people),Extremely ambitious(Top 1 out of 100 people),(Bottom 8 out of 100 people),Extremely knowledgeable(Top 1 out of 100 people),(Bottom 18 out of 100 people),(Bottom 3 out of 100 people),(Top 3 out of 100 people),Extremely unattractive body(Bottom 1 out of 100 people),(Top 8 out of 100 people),(Bottom 18 out of 100 people),(Bottom 32 out of 100 people),(Bottom 8 out of 100 people),(Top 3 out of 100 people),(Top 18 out of 100 people),13,Male,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,1,TRUE,11/17/22 13:34,R_0UkLpvfKQpm0zie,,,,,34.4373,-119.8341,test,,36,Female,Homosexual,,Female,,Prefer not to say,"No, I do not consider myself polyamorous.",Engaged,1,,3,3,3,10,0,10,1,8,3,5,6,1,0,6,7,10,An option not listed here,"Sapien leo dapibus porta, orci. Nec eros! Temporibus ab. Lacus sapien tincidunt tempora.",An option not listed here,Extremely apathetic(Bottom 1 out of 100 people),(Bottom 18 out of 100 people),(Top 3 out of 100 people),Extremely knowledgeable(Top 1 out of 100 people),(Top 18 out of 100 people),(Bottom 18 out of 100 people),Average (Top 50 out of 100 people),Extremely unattractive body(Bottom 1 out of 100 people),(Top 18 out of 100 people),(Bottom 18 out of 100 people),(Top 3 out of 100 people),Extremely weak sexual desire(Bottom 1 out of 100 people),(Top 32 out of 100 people),(Bottom 32 out of 100 people),Yes,,,"Eget etiam nulla ridiculus. Ultricies, eu sem nunc lacus tellus ante est rutrum volutpat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average (Top 50 out of 100 people),(Bottom 18 out of 100 people),Average (Top 50 out of 100 people),(Bottom 18 out of 100 people),(Bottom 18 out of 100 people),(Top 3 out of 100 people),Extremely unattractive face(Bottom 1 out of 100 people),(Bottom 18 out of 100 people),(Top 8 out of 100 people),Extremely poor earning potential(Bottom 1 out of 100 people),(Bottom 32 out of 100 people),(Bottom 32 out of 100 people),(Top 3 out of 100 people),(Top 3 out of 100 people),Mi tempus ante sagittis porta donec consectetuer erat nulla! Interdum.,Female,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_9pJ3IRoQbu1XgQC,,,,,34.4373,-119.8341,test,,55,Male,Homosexual,,Prefer not to say,,Prefer not to say,"No, I do not consider myself polyamorous.",In a relationship,1,,2,5,6,7,3,9,6,4,6,5,2,8,1,0,3,10,Non-binary,,Female,(Top 18 out of 100 people),(Bottom 3 out of 100 people),Extremely unintelligent(Bottom 1 out of 100 people),(Top 18 out of 100 people),(Top 32 out of 100 people),(Bottom 32 out of 100 people),(Bottom 18 out of 100 people),Extremely attractive body(Top 1 out of 100 people),Average (Top 50 out of 100 people),(Bottom 32 out of 100 people),(Bottom 32 out of 100 people),(Top 18 out of 100 people),(Top 3 out of 100 people),(Bottom 8 out of 100 people),No,Somewhat disagree,Quis malesuada. Laoreet interdum elementum vulputate lacus! Fringilla? Velit suspendisse. Donec? Cras.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Bottom 32 out of 100 people),(Top 3 out of 100 people),Extremely unintelligent(Bottom 1 out of 100 people),Average (Top 50 out of 100 people),Average (Top 50 out of 100 people),Extremely considerate(Top 1 out of 100 people),(Bottom 8 out of 100 people),(Bottom 3 out of 100 people),(Top 3 out of 100 people),Extremely poor earning potential(Bottom 1 out of 100 people),(Bottom 32 out of 100 people),(Bottom 32 out of 100 people),Average (Top 50 out of 100 people),Extremely looked up to by others(Top 1 out of 100 people),Praesent aliquet convallis nulla non posuere eros sodales blandit. Fringilla aenean! Justo risus.,Non-binary,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_234xTPyn24KRFIO,,,,,34.4373,-119.8341,test,,93,Male,Heterosexual,,Female,,"Asian or Pacific Islander,Black or African American,Hispanic or Latino,Middle Eastern or North African,Native American or American Indian,White",Prefer not to say,Prefer not to say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
